id,carat,cut,color,clarity,depth,table,x,y,z,price
110416,0.54,Very Good,H,VS2,62.0,58.0,5.17,5.21,3.23,1415
6344,1.1,Ideal,G,VS1,62.0,56.0,6.59,6.64,4.11,8491
121042,0.51,Ideal,F,VS1,61.9,56.0,5.1,5.12,3.17,1744
104702,1.0,Fair,H,SI1,64.9,58.0,6.32,6.25,4.08,3751
169355,0.44,Premium,F,SI1,62.0,59.0,4.82,4.86,3.0,945
61503,0.53,Ideal,G,VS2,61.7,55.0,5.24,5.22,3.23,1581
26022,0.25,Very Good,E,VVS2,63.0,58.0,4.0,4.03,2.53,526
178673,0.35,Premium,D,SI2,60.8,58.0,4.54,4.56,2.76,522
1648,0.65,Premium,G,VS1,60.6,60.0,5.61,5.58,3.39,1884
15533,0.25,Very Good,F,IF,62.4,53.0,4.08,4.12,2.56,633
107893,0.72,Ideal,D,VS2,60.5,55.0,5.8,5.85,3.52,3625
15766,1.22,Premium,H,SI2,61.5,58.0,6.9,6.84,4.22,4956
74295,1.01,Premium,H,SI2,61.2,58.0,6.47,6.41,3.94,4783
11663,0.23,Very Good,E,VVS2,60.0,60.0,4.0,4.04,2.41,680
157814,0.33,Ideal,E,VS1,61.6,56.0,4.43,4.46,2.74,850
70857,0.23,Premium,E,VS1,62.3,58.0,3.93,3.96,2.44,388
11685,0.7,Premium,G,VS2,60.5,59.0,5.82,5.77,3.49,2616
7582,0.7,Very Good,G,VS1,62.4,58.0,5.65,5.69,3.54,2550
120498,1.11,Premium,H,VS2,61.7,59.0,6.68,6.65,4.12,5650
180257,0.52,Ideal,E,SI1,62.9,57.0,5.12,5.11,3.21,1383
29514,1.07,Very Good,D,SI1,60.0,59.0,6.58,6.61,3.95,5752
58673,1.01,Very Good,F,VS1,61.4,59.0,6.5,6.44,3.97,7276
135473,0.34,Premium,F,SI1,60.4,60.0,4.55,4.53,2.73,711
187967,1.7,Ideal,I,VVS2,62.5,54.0,7.64,7.6,4.76,12981
18182,0.9,Very Good,H,VS2,62.7,56.0,6.13,6.1,3.84,4166
192663,0.57,Ideal,G,VS2,62.5,56.0,5.31,5.34,3.34,1422
88212,1.01,Premium,F,VS1,62.6,59.0,6.4,6.37,4.0,7283
169119,1.01,Very Good,D,SI1,62.1,59.0,6.38,6.42,3.97,5488
89744,0.3,Very Good,I,SI1,62.8,57.0,4.23,4.25,2.67,394
141966,0.33,Ideal,I,VVS2,62.2,55.0,4.44,4.42,2.76,743
153418,1.2,Premium,I,VS2,59.9,60.0,6.92,6.89,4.14,5086
171957,0.31,Ideal,G,IF,62.5,55.0,4.36,4.39,2.74,914
190708,0.5,Ideal,G,VVS2,61.5,56.0,5.1,5.14,3.15,1838
135339,0.71,Very Good,J,SI1,62.8,60.0,5.64,5.67,3.55,1755
27492,0.74,Ideal,F,VS1,63.0,55.0,5.74,5.76,3.62,3234
167460,0.9,Premium,E,SI1,62.8,59.0,6.1,6.06,3.82,4162
188035,1.21,Ideal,H,SI2,61.5,56.0,6.87,6.91,4.25,5235
150155,0.71,Ideal,H,VVS1,62.1,57.0,5.68,5.65,3.52,2824
80464,1.5,Good,E,VS2,61.1,59.0,7.28,7.34,4.48,14256
68623,0.55,Ideal,E,SI1,62.0,55.0,5.25,5.28,3.27,1598
65156,2.18,Premium,H,SI1,60.0,58.0,8.43,8.46,5.08,17334
72620,1.51,Premium,I,SI2,61.1,58.0,7.4,7.36,4.51,6512
115014,0.81,Ideal,F,SI1,61.6,55.0,6.0,5.97,3.69,3453
89010,0.34,Premium,E,SI1,61.3,58.0,4.53,4.55,2.78,765
78090,1.01,Very Good,G,VVS2,62.4,59.0,6.42,6.38,3.99,7657
109066,0.51,Premium,D,SI2,60.4,60.0,5.16,5.13,3.1,1116
149389,0.55,Ideal,F,VS1,61.8,56.0,5.25,5.29,3.25,2101
72267,0.38,Ideal,J,VS2,62.1,57.0,4.61,4.64,2.87,537
176133,1.01,Good,F,SI2,63.6,58.0,6.38,6.31,4.04,4312
15864,2.21,Premium,E,SI2,61.1,56.0,8.46,8.43,5.17,18557
37,0.35,Ideal,F,VS2,61.4,56.0,4.53,4.55,2.79,806
22411,1.05,Ideal,D,SI1,61.4,56.0,6.52,6.59,4.03,6040
85769,0.3,Ideal,D,VS2,62.1,56.0,4.3,4.33,2.68,805
11790,0.72,Ideal,H,VS2,61.7,56.0,5.76,5.79,3.57,3122
122932,0.6,Premium,E,SI1,60.8,58.0,5.39,5.44,3.29,1551
103348,1.01,Ideal,E,SI1,61.6,59.0,6.49,6.45,3.98,6397
133144,0.5,Ideal,E,SI1,62.4,56.0,5.08,5.12,3.19,1441
81469,0.51,Ideal,F,VS2,61.6,57.0,5.16,5.13,3.17,1402
111414,1.53,Premium,D,SI2,61.4,60.0,7.31,7.34,4.51,8866
168555,0.4,Ideal,G,VVS1,61.9,57.0,4.71,4.73,2.93,1200
185670,0.9,Very Good,F,SI1,59.9,61.0,6.18,6.26,3.73,3732
78520,1.25,Good,J,VS2,61.4,61.0,6.91,6.94,4.24,5501
58330,1.06,Ideal,G,VS2,62.1,56.0,6.53,6.5,4.05,6857
31424,1.0,Very Good,F,SI1,62.2,57.0,6.35,6.39,3.96,4643
18779,1.58,Ideal,E,SI1,59.9,56.0,7.69,7.61,4.55,13135
165344,0.7,Ideal,D,SI1,60.1,56.0,5.79,5.75,3.46,3121
53254,1.51,Very Good,E,SI1,62.8,57.0,7.25,7.31,4.57,12773
59357,0.73,Very Good,F,SI1,60.6,57.0,5.84,5.87,3.55,2558
151408,1.18,Premium,E,I1,60.0,58.0,6.91,6.83,4.13,3633
49727,1.02,Premium,H,VS2,62.1,59.0,6.38,6.42,3.98,5100
193401,0.7,Premium,I,VS1,61.7,58.0,5.68,5.73,3.52,2147
189255,0.41,Ideal,I,VVS1,62.3,55.0,4.79,4.78,2.98,875
153352,0.23,Very Good,D,VS2,62.1,59.0,3.93,3.96,2.45,338
10063,0.3,Premium,E,VVS2,60.2,60.0,4.38,4.41,2.64,742
139934,1.01,Good,G,SI2,63.4,59.0,6.31,6.37,4.02,4291
68664,0.51,Premium,D,SI1,58.0,60.0,5.23,5.27,3.05,1571
67398,1.07,Very Good,E,VS1,62.1,56.0,6.51,6.56,4.06,9281
101949,1.0,Very Good,H,SI1,63.3,59.0,6.4,6.37,4.03,4682
118779,0.51,Ideal,E,SI1,62.5,55.0,5.12,5.09,3.19,1546
114681,1.09,Premium,F,SI1,60.2,58.0,6.76,6.67,4.03,4890
120747,2.01,Premium,I,VS2,61.7,60.0,8.02,7.96,4.94,16826
180953,1.3,Very Good,D,VS2,59.2,56.0,7.17,7.13,4.23,10693
157410,0.31,Ideal,G,VVS2,61.6,56.0,4.37,4.38,2.69,684
56819,0.32,Premium,H,VS1,62.2,58.0,4.38,4.41,2.73,561
120087,0.33,Very Good,E,SI1,60.5,61.0,4.45,4.49,2.71,479
155011,0.54,Premium,F,SI2,60.4,60.0,5.28,5.27,3.18,1176
36043,0.54,Ideal,E,SI2,61.9,58.0,5.16,5.2,3.21,1168
142842,0.53,Ideal,G,VS1,62.2,54.0,5.21,5.23,3.24,1721
76051,0.46,Ideal,G,VS1,61.9,56.0,4.99,4.96,3.07,1180
68647,1.3,Premium,G,VS2,61.9,59.0,7.02,6.98,4.33,7780
35636,0.32,Premium,H,SI1,62.3,59.0,4.35,4.38,2.72,461
17164,0.53,Premium,D,SI1,61.6,55.0,5.2,5.23,3.21,1806
83147,1.24,Ideal,H,SI2,61.4,57.0,6.92,6.96,4.27,5010
108678,0.3,Very Good,G,VS1,63.1,54.0,4.3,4.33,2.72,652
110228,0.36,Ideal,G,SI1,61.2,56.0,4.59,4.63,2.82,581
24994,1.51,Very Good,D,VS2,63.1,57.0,7.31,7.26,4.59,16130
145418,0.5,Ideal,G,VVS1,62.0,57.0,5.09,5.07,3.15,2070
106319,0.51,Premium,D,VS2,62.2,61.0,5.07,5.09,3.16,1882
67693,0.77,Ideal,F,VS1,62.1,55.0,5.86,5.88,3.64,3568
118378,1.56,Very Good,I,VS2,61.5,59.0,7.45,7.48,4.59,10763
44120,1.0,Ideal,G,VS1,62.3,54.0,6.49,6.46,4.03,7404
44126,1.7,Ideal,H,SI1,60.9,55.0,7.65,7.67,4.68,12255
145035,2.11,Premium,J,SI2,62.3,60.0,8.14,8.19,5.08,12327
31832,0.61,Very Good,E,VS2,62.2,56.0,5.42,5.45,3.38,1970
175994,0.3,Ideal,J,VS1,61.3,56.0,4.3,4.32,2.64,506
91982,0.3,Ideal,H,VS1,62.1,55.0,4.28,4.31,2.67,526
132434,0.51,Ideal,G,VS1,61.9,55.0,5.18,5.14,3.19,1758
171192,0.3,Premium,F,VS2,62.7,58.0,4.29,4.26,2.69,776
25407,0.3,Ideal,D,VS2,62.0,55.0,4.29,4.32,2.67,633
110975,0.71,Ideal,I,VS2,61.6,56.0,5.74,5.77,3.54,2274
61578,0.45,Very Good,E,VVS1,62.1,59.0,4.88,4.92,3.05,1397
102742,0.33,Ideal,F,VVS1,62.4,54.0,4.46,4.44,2.78,880
107109,0.4,Premium,I,VS1,62.8,59.0,4.77,4.73,2.98,799
192102,0.32,Ideal,G,SI1,61.9,56.0,4.37,4.4,2.71,477
69717,1.01,Good,G,SI2,61.8,61.0,6.36,6.43,3.95,3871
56562,0.4,Premium,G,VVS1,61.3,58.0,4.73,4.69,2.89,1123
162812,0.32,Ideal,I,VVS2,61.9,55.0,4.41,4.44,2.74,561
166490,0.3,Ideal,H,VS1,62.6,55.0,4.33,4.31,2.7,675
91069,0.74,Ideal,D,VS2,62.5,56.0,5.81,5.78,3.62,3365
109471,1.52,Premium,G,SI2,62.7,59.0,7.31,7.34,4.58,8736
20844,1.2,Very Good,D,SI1,63.0,56.0,6.8,6.76,4.27,7539
163408,1.05,Ideal,G,VS2,61.6,57.0,6.52,6.55,4.02,6027
64391,1.2,Premium,J,VS2,61.2,59.0,6.93,6.89,4.22,5416
51104,0.71,Very Good,J,VS1,61.6,56.0,5.7,5.73,3.52,2036
184736,0.33,Ideal,G,SI1,61.2,57.0,4.47,4.5,2.75,497
125416,1.03,Very Good,H,SI2,59.6,57.0,6.59,6.62,3.94,3774
89580,0.5,Ideal,E,VS2,62.1,55.0,5.1,5.12,3.18,1637
75140,1.19,Very Good,J,SI2,62.0,58.0,6.83,6.79,4.23,4831
36103,1.02,Premium,H,VS2,61.8,59.0,6.48,6.41,3.98,6052
35534,0.56,Very Good,D,VS2,62.9,57.0,5.26,5.23,3.3,1963
143948,0.9,Ideal,D,SI1,61.8,56.0,6.21,6.18,3.83,4624
72867,0.81,Very Good,H,VS2,62.6,57.0,5.92,5.96,3.72,3191
33074,0.39,Premium,D,VS1,61.8,58.0,4.71,4.67,2.9,1209
62080,0.71,Very Good,E,SI1,61.3,56.0,5.75,5.78,3.53,3567
173538,0.56,Ideal,D,VS2,60.5,56.0,5.29,5.38,3.23,1963
124092,1.02,Ideal,F,SI2,61.1,57.0,6.51,6.54,3.98,4284
148607,0.24,Very Good,E,VS1,60.1,60.0,3.99,4.03,2.4,419
179571,1.51,Very Good,I,SI1,61.4,54.0,7.33,7.38,4.52,9090
20247,1.51,Good,D,SI1,62.9,59.0,7.2,7.17,4.52,11372
3925,1.07,Ideal,D,SI1,62.2,57.0,6.59,6.56,4.09,5842
96628,0.9,Ideal,F,SI1,62.3,55.0,6.2,6.23,3.87,4241
181441,0.32,Premium,H,VS2,62.3,55.0,4.38,4.33,2.71,648
101660,0.54,Ideal,I,VS2,61.1,56.0,5.26,5.28,3.22,1268
70188,0.76,Very Good,F,SI2,59.6,59.0,5.95,5.97,3.55,2459
185588,0.76,Ideal,G,SI1,60.2,57.0,5.92,5.96,3.57,2699
167187,0.53,Premium,D,VS2,60.6,59.0,5.23,5.17,3.16,1836
9061,0.51,Premium,F,SI1,61.8,58.0,5.16,5.11,3.17,1151
33792,0.3,Premium,E,VVS2,62.0,59.0,4.31,4.25,2.65,1046
14667,1.1,Ideal,I,VS2,61.3,56.0,6.65,6.61,4.07,4860
63282,0.33,Ideal,E,VS2,61.1,54.0,4.48,4.45,2.73,928
135800,1.11,Premium,G,VS2,60.3,60.0,6.73,6.69,4.05,6013
51671,0.9,Ideal,D,I1,61.8,56.0,6.18,6.22,3.83,3349
60176,0.71,Premium,G,VS2,62.9,59.0,5.69,5.72,3.59,2517
159741,1.0,Ideal,G,VS2,61.5,57.0,6.35,6.42,3.92,5347
81288,0.41,Premium,D,SI1,62.1,59.0,4.75,4.72,2.94,1015
159617,1.03,Ideal,H,SI1,59.8,57.0,6.61,6.55,3.93,5125
9658,1.01,Very Good,G,VS1,63.5,59.0,6.34,6.36,4.03,5963
95284,1.23,Very Good,H,VS1,59.9,59.0,6.91,7.01,4.19,7418
154003,0.4,Ideal,I,VS2,61.9,55.0,4.76,4.79,2.96,660
91376,0.51,Ideal,G,VVS2,62.5,56.0,5.12,5.08,3.19,1911
172238,0.34,Ideal,I,SI1,62.6,54.0,4.5,4.52,2.83,589
138980,1.57,Ideal,G,VVS2,62.0,56.0,7.46,7.43,4.61,17153
66184,1.52,Ideal,H,SI1,62.3,56.0,7.33,7.27,4.55,9278
158871,0.28,Ideal,G,VS2,61.8,55.0,4.18,4.2,2.59,452
121304,1.22,Premium,I,SI1,61.7,61.0,6.8,6.79,4.19,4871
59948,0.31,Very Good,G,SI1,62.0,55.0,4.38,4.42,2.73,462
25943,0.73,Ideal,G,VS1,61.3,57.0,5.79,5.82,3.56,2994
76552,0.76,Ideal,F,SI1,61.6,57.0,5.8,5.84,3.59,2690
154081,1.52,Premium,J,SI2,62.8,59.0,7.34,7.28,4.59,6870
22240,0.3,Very Good,H,VS2,62.0,59.0,4.29,4.35,2.68,473
60104,0.9,Very Good,F,SI1,62.5,59.0,6.13,6.16,3.85,3879
146254,0.72,Premium,E,VS1,59.1,59.0,5.92,5.89,3.48,3220
15900,1.29,Premium,I,VS2,62.4,58.0,6.91,6.95,4.33,5876
80130,0.72,Ideal,F,VVS2,62.2,56.0,5.75,5.72,3.57,2892
153298,0.7,Ideal,F,VS2,61.2,56.0,5.73,5.76,3.52,2999
46365,0.7,Good,F,SI1,57.9,65.0,5.82,5.87,3.37,2554
192393,0.51,Ideal,E,VS2,61.4,56.0,5.19,5.17,3.18,1612
161664,1.16,Good,D,SI1,63.7,58.0,6.67,6.75,4.28,6549
95364,0.4,Ideal,I,VS1,60.9,57.0,4.8,4.81,2.93,753
70749,1.01,Very Good,G,I1,59.6,63.0,6.51,6.48,3.88,2896
146892,0.34,Premium,G,VS1,62.1,58.0,4.5,4.45,2.78,828
77127,0.4,Ideal,G,VVS2,61.8,56.0,4.76,4.72,2.93,933
94090,1.5,Premium,G,VS1,62.0,59.0,7.32,7.26,4.53,15032
175548,1.21,Premium,F,VS2,62.9,59.0,6.76,6.81,4.28,7911
111663,0.3,Premium,F,VVS1,61.3,59.0,4.29,4.33,2.64,779
106990,0.9,Very Good,E,SI2,62.9,62.0,6.0,6.09,3.8,3668
31231,0.71,Ideal,E,VS1,61.7,56.0,5.74,5.77,3.55,3059
149869,0.3,Premium,F,IF,61.0,58.0,4.32,4.36,2.65,786
160654,1.06,Very Good,H,SI2,62.8,57.0,6.49,6.51,4.1,4404
110531,0.32,Premium,G,VS2,61.7,58.0,4.4,4.38,2.71,561
62505,0.38,Ideal,F,VS2,61.0,55.0,4.69,4.71,2.87,830
139530,1.16,Ideal,G,VVS2,62.0,57.0,6.79,6.76,4.2,8505
82302,1.5,Premium,D,SI2,61.0,60.0,7.38,7.41,4.5,9908
49208,0.33,Ideal,E,VS2,61.4,56.0,4.42,4.38,2.7,928
126012,0.71,Very Good,D,VS1,62.6,59.0,5.69,5.72,3.57,3442
112532,0.44,Ideal,E,SI1,62.9,56.0,4.86,4.83,3.06,945
155188,1.21,Premium,G,VVS1,61.0,58.0,6.84,6.91,4.18,11108
104025,0.31,Ideal,G,VVS1,61.7,56.0,4.36,4.34,2.68,1046
171693,0.32,Ideal,G,VS1,62.2,56.0,4.35,4.4,2.72,645
33630,1.03,Ideal,F,VVS2,61.7,56.0,6.49,6.46,4.0,8430
58726,0.54,Very Good,F,VS1,61.7,58.0,5.22,5.18,3.21,2041
44408,0.32,Ideal,G,SI2,61.0,56.0,4.48,4.46,2.73,609
88796,0.41,Ideal,G,IF,61.2,57.0,4.76,4.78,2.92,1151
112178,1.57,Ideal,H,VVS2,62.1,55.0,7.43,7.47,4.62,12644
96078,0.31,Ideal,G,SI2,61.8,55.0,4.36,4.37,2.7,523
69332,0.53,Ideal,E,SI1,61.2,57.0,5.21,5.24,3.2,1424
97970,0.31,Premium,H,VVS1,62.4,58.0,4.31,4.35,2.7,707
152258,1.25,Ideal,H,VS2,62.4,58.0,6.86,6.89,4.29,7326
8000,0.9,Good,H,SI2,60.2,57.0,6.22,6.26,3.76,3057
190997,0.4,Ideal,G,SI1,62.2,56.0,4.76,4.71,2.94,1016
159984,0.85,Ideal,F,SI1,61.1,56.0,6.12,6.09,3.73,3371
128555,0.7,Very Good,G,SI1,59.7,60.0,5.78,5.81,3.46,2492
169787,1.5,Very Good,H,VS2,63.1,57.0,7.26,7.21,4.57,10935
134857,0.32,Ideal,G,VS2,60.6,57.0,4.45,4.48,2.7,648
126043,1.22,Ideal,J,VVS1,62.1,58.0,6.84,6.8,4.24,7153
124559,0.9,Very Good,G,VS2,63.5,58.0,6.1,6.09,3.88,4165
71914,1.08,Premium,G,VS2,61.9,58.0,6.56,6.53,4.06,6532
16211,0.73,Ideal,D,VS2,61.5,56.0,5.81,5.83,3.58,3615
108029,0.3,Ideal,F,VVS1,62.6,55.0,4.28,4.25,2.67,956
41244,0.71,Ideal,D,SI1,61.3,55.0,5.73,5.76,3.52,2816
124174,0.55,Premium,E,SI2,61.7,59.0,5.25,5.27,3.24,1270
159825,0.5,Very Good,F,SI1,63.3,57.0,5.06,5.03,3.18,1240
36648,0.3,Premium,D,SI1,62.6,58.0,4.27,4.29,2.68,591
121647,0.7,Ideal,I,VVS2,60.2,58.0,5.75,5.79,3.47,2276
114480,1.6,Ideal,I,VS1,62.1,57.0,7.47,7.51,4.65,10036
40767,1.17,Very Good,G,VS2,62.9,59.0,6.73,6.68,4.22,7311
99937,0.31,Ideal,F,IF,61.4,56.0,4.37,4.4,2.7,988
38155,2.06,Premium,I,SI1,61.2,60.0,8.32,8.24,5.05,14581
156035,0.7,Ideal,H,VS1,61.8,57.0,5.68,5.73,3.53,2777
193262,0.41,Ideal,G,VS1,61.2,57.0,4.77,4.8,2.93,976
45013,0.27,Ideal,I,VS1,61.9,54.0,4.18,4.21,2.6,432
93309,0.25,Very Good,E,VVS2,63.0,57.0,3.96,4.0,2.5,525
103549,1.08,Premium,G,VS2,62.1,58.0,6.59,6.5,4.06,6561
191532,1.2,Very Good,G,SI2,63.1,56.0,6.72,6.75,4.24,4672
3258,0.5,Premium,F,VS1,61.3,59.0,5.13,5.15,3.15,1710
114236,1.09,Ideal,H,SI1,61.2,57.0,6.62,6.66,4.06,5098
76508,0.72,Premium,G,SI1,61.3,58.0,5.68,5.71,3.5,1770
56090,0.55,Premium,D,VS2,61.8,58.0,5.25,5.28,3.25,1841
148188,0.44,Premium,E,VS1,60.5,60.0,4.99,4.94,2.99,1155
72228,0.36,Ideal,E,VS1,61.4,57.0,4.59,4.62,2.82,984
175823,1.01,Very Good,E,SI1,59.3,61.0,6.49,6.51,3.86,4724
20062,1.09,Ideal,G,VS1,61.0,57.0,6.65,6.68,4.05,6902
147905,0.52,Ideal,D,VS2,61.4,56.0,5.16,5.13,3.16,2030
131193,1.5,Very Good,G,VS2,63.4,54.0,7.27,7.24,4.6,11913
59683,0.28,Ideal,F,VVS2,61.4,56.0,4.24,4.28,2.62,642
138498,0.55,Ideal,H,VS1,62.3,54.0,5.25,5.28,3.28,1821
68586,0.25,Ideal,E,VS1,62.3,57.0,4.01,4.04,2.51,580
171352,1.4,Very Good,H,VVS2,61.2,61.0,7.16,7.19,4.37,10351
101835,1.01,Good,F,SI2,63.6,57.0,6.33,6.36,4.04,4162
72790,0.7,Ideal,H,VS1,60.6,57.0,5.72,5.77,3.48,2363
16471,0.96,Ideal,F,SI1,61.7,57.0,6.36,6.27,3.9,4293
188776,0.76,Good,H,VS1,63.5,55.0,5.82,5.85,3.71,2816
16169,0.3,Ideal,D,VS2,61.7,56.0,4.31,4.28,2.65,911
45594,0.32,Ideal,D,VVS2,62.1,56.0,4.37,4.38,2.72,814
29802,0.36,Ideal,D,SI1,61.5,56.0,4.6,4.63,2.84,619
138953,1.51,Premium,H,VS1,62.7,59.0,7.31,7.26,4.57,10769
143796,1.02,Good,J,SI2,59.0,59.0,6.55,6.61,3.88,4194
86782,0.85,Ideal,H,VS1,62.6,55.0,6.01,6.05,3.78,3712
144987,0.56,Ideal,E,VS2,60.5,56.0,5.33,5.35,3.23,1949
20146,1.01,Ideal,E,SI1,61.2,56.0,6.49,6.45,3.97,5671
28420,1.2,Good,G,SI2,63.6,60.0,6.74,6.65,4.25,5375
59569,1.02,Premium,F,SI1,62.4,59.0,6.43,6.37,4.0,4678
102690,0.7,Ideal,F,SI1,61.7,56.0,5.73,5.75,3.54,2559
107868,0.3,Ideal,H,SI2,62.5,56.0,4.31,4.25,2.67,432
138836,1.4,Premium,I,SI2,61.1,59.0,7.23,7.3,4.43,7275
118856,1.25,Ideal,H,VVS2,61.8,56.0,6.9,6.93,4.27,8398
178774,0.4,Premium,H,VVS1,62.0,57.0,4.73,4.64,2.9,1035
179198,0.4,Premium,E,VS2,59.5,58.0,4.83,4.79,2.86,1024
190627,0.55,Ideal,E,SI1,60.3,56.0,5.28,5.31,3.21,1571
1508,1.51,Premium,G,SI2,62.6,61.0,7.31,7.28,4.57,7695
160606,0.56,Ideal,E,VS2,60.5,56.0,5.36,5.33,3.23,1917
127396,0.41,Ideal,F,VVS1,62.5,57.0,4.77,4.78,2.98,1260
184810,0.4,Very Good,G,VVS2,59.4,58.0,4.8,4.85,2.87,931
184480,1.01,Ideal,G,VS1,61.5,54.0,6.48,6.45,3.98,6808
59102,1.01,Ideal,H,SI2,62.8,55.0,6.38,6.36,4.0,4355
119261,1.07,Premium,H,SI1,62.5,58.0,6.51,6.48,4.05,5056
139818,1.2,Ideal,D,SI2,62.6,54.0,6.84,6.79,4.28,6740
156012,1.01,Ideal,E,VS2,61.0,57.0,6.47,6.5,3.96,6966
43032,0.38,Ideal,H,SI1,62.4,53.7,4.64,4.67,2.9,919
181587,0.73,Premium,F,IF,59.3,60.0,5.84,5.9,3.51,3643
102993,0.32,Ideal,G,VVS1,62.2,55.0,4.38,4.4,2.73,796
45621,2.42,Premium,I,SI2,59.6,60.0,8.76,8.81,5.17,18242
62560,0.51,Ideal,G,VS1,60.9,56.0,5.12,5.17,3.14,1656
47020,0.51,Very Good,F,SI1,62.8,58.0,5.1,5.04,3.18,1300
85166,1.03,Ideal,I,VS1,62.1,58.0,6.44,6.47,4.01,5292
183058,0.31,Good,E,SI1,63.8,57.0,4.28,4.3,2.74,583
26470,1.12,Ideal,F,VS2,61.8,57.0,6.66,6.7,4.13,7328
125737,1.01,Premium,G,SI2,62.1,59.0,6.42,6.39,3.97,4163
2772,0.3,Good,G,SI2,63.8,55.0,4.26,4.28,2.73,382
5098,0.38,Ideal,E,VVS2,61.1,56.0,4.66,4.68,2.86,1166
105230,1.01,Ideal,D,SI1,60.9,57.0,6.49,6.47,3.95,6352
393,0.33,Ideal,F,VVS2,61.7,56.0,4.46,4.42,2.74,1040
119824,0.33,Very Good,H,VS1,61.9,56.0,4.37,4.43,2.72,579
7735,0.5,Very Good,E,VS2,61.2,58.0,5.1,5.13,3.14,1608
175159,0.55,Premium,E,VS2,59.3,59.0,5.36,5.29,3.16,1735
165971,0.55,Very Good,E,SI2,60.9,58.0,5.27,5.32,3.22,1209
183251,1.52,Ideal,F,VS2,62.2,55.0,7.31,7.37,4.55,14773
143507,0.72,Ideal,G,VS2,61.3,55.0,5.78,5.81,3.55,2697
54871,1.01,Premium,F,SI2,61.6,60.0,6.36,6.39,3.93,3991
154642,0.26,Very Good,E,VVS2,62.3,55.0,4.06,4.1,2.53,552
